Weapon,Rarity,Tags,Fire Mode,Fire Type,Damage,Fire Rate / Cadence,Energy Use,Range / Radius,Other Stats,Grid Size,Weight,What it does / how it works
Gauss Cannon,rare,weapon,charge,projectile,110 (at full charge; scales linearly with charge held),1.5s full charge time,10 per shot (ACTIVE),—,—,3x2,8,"Hold to charge then release a heavy slug. Slow cadence, big single-target burst; damage scales with how long you charged."
Ionizing Field,epic,"weapon, shield",aura,aura,14 per tick,tick every 0.25s,14 per second (inactive*),radius 140 px,—,2x2,6,"Always-on electric aura around the ship while equipped; damages every enemy within the radius each tick. Counts as a shield (secondary slot)."
Gatling Gun,common,weapon,repeat,projectile,8 per shot,every 0.12s while held (~8.3 shots/s),6 per second (inactive*),—,—,3x1,4,"Baseline rapid-fire gun. Hold to keep spraying fast, light shots — cheap and reliable sustained fire."
Homing Missile,rare,weapon,repeat,homing,19 per missile,every 0.53s while held,7 per shot (inactive*),—,picks nearest target; missile curves in,2x1,5,"Auto-fires while held: a missile loops out behind the ship then streaks to the nearest target and bursts in an explosion."
Shotgun,common,weapon,repeat,cone,18 per pellet (5 pellets = 90 max),every 0.7s,8 per volley (inactive*),range 216 px,5 pellets / 34 deg spread,2x1,5,"Short-range cone of 5 pellets that vanish after their range. Devastating point-blank, harmless at distance."
Lasgun,rare,weapon,beam,hitscan_beam,20 per tick,tick every 0.15s (continuous while held),20 per second + 10 to start (ACTIVE),range 760 px,beam width 40 px; stops at first target,3x1,5,"Continuous straight beam that burns the first target in its line. Hold to sustain; drains energy while firing."
Arc,rare,weapon,repeat,chain,30 per hit,every 0.5s,12 per shot (inactive*),chain range 200 px,chains to 4 extra targets,2x2,6,"Lightning that strikes a target then jumps to nearby ones (up to 4 chain jumps)."
Plasma Drill,epic,weapon,beam,tether,70 per tick,tick every 0.2s (continuous while held),22 per shot/tick (inactive*),range 170 px,beam width 10 px; latches nearest target,2x2,7,"Short-range tether that latches onto the nearest target and drills it with very high sustained damage."
Rift Maker,legendary,weapon,channel,growing_zone,20 per tick at start ramping to 195 per tick,tick every 0.3s; ramps over 2.5s while held,20 per second + 10 to start (ACTIVE),radius 40 -> 90 px (grows),collapses on release,2x2,9,"Hold to tear open a void at a spot. It grows wider and hits harder the longer you hold, then collapses when released."
Parasite Gun,epic,weapon,repeat,dot_stack,6 DPS per attached parasite (5 per volley),4.0s reload between volleys; DoT ticks every 0.5s,8 per volley (inactive*),—,5 parasites per volley; stack as damage-over-time,2x2,5,"Fires a volley of sticky parasites that latch onto whatever they hit and gnaw it over time until it dies. Slow reload."
Swarm Host,rare,weapon,channel,minion,5 per bat hit,bat attacks every 0.4s; downed bats respawn after 3s,9 per second (inactive*),bat roam range 260 px,4 bats; bats also body-block boss fire,2x2,4,"Hold to release a swarm of 4 bats that chase the nearest target and body-block incoming boss projectiles. Bats respawn while held."
Orbitals,epic,weapon,orbital,orbital,38 per collision,passive always-on; hold to overcharge to 3x spin speed,20 per second while overcharged + 10 to start (ACTIVE; passive is free),orbit around ship,3 metal balls; collide for damage,2x2,5,"Three metal balls orbit the ship and smash anything they touch — free and always on. Hold to overcharge (faster spin = more hits) for energy."
Shield Generator,rare,shield,—,—,— (defensive),regen starts 3s after last hit; refills over 1.5s,— (no energy),—,20 shield points,2x2,6,"Not a weapon. Projects a 20-point energy shield that absorbs damage before your hull, then recharges 3s after the last hit. Secondary slot only."
,,,,,,,,,,,,
NOTES,,,,,,,,,,,,
Energy (*),,,,,,,"Energy is GLOBALLY OFF (weapon_system.gd WEAPONS_USE_ENERGY = false). Only items flagged uses_energy actually drain it today: Lasgun, Rift Maker, Orbitals. All other 'energy' values are defined but inactive.",,,,,
Base damage roll,,,,,,,"Every weapon instance rolls a hidden base-damage multiplier of +/-20% (BASE_DAMAGE_VARIANCE), so listed damage is the nominal mid value.",,,,,
Source,,,,,,,"All values pulled from ITEM_DEFS in scripts/autoload/inventory_manager.gd (current code).",,,,,
